2,0.44450000000000006
4,0.6947000000000001
8,1.6507
16,3.2074000000000003
32,3.7471
64,6.8772
128,6.723
256,12.896600000000001
512,26.8668
1024,32.9027
2048,62.0703
4096,103.4864
8192,174.8478
16384,291.5321
32768,529.0214
65536,832.8547
131072,1708.489
262144,2866.6836
524288,5070.1061
2,0.8103
4,1.4203999999999999
8,1.2525
16,2.3791
32,2.4834
64,4.7418000000000005
128,11.1532
256,9.001100000000001
512,21.935399999999998
1024,31.4176
2048,83.7092
4096,105.7589
8192,190.6349
16384,312.2115
32768,502.8294
65536,912.7804
131072,1621.1756
262144,2907.6573
524288,5254.1802
2,0.3239
4,0.8253
8,1.3943
16,1.0819
32,1.8618
64,6.044200000000001
128,8.353
256,11.002
512,18.4623
1024,34.9143
2048,63.684
4096,97.1683
8192,177.5709
16384,299.526
32768,519.5098
65536,866.2071
131072,1592.5162
262144,2938.8066
524288,5196.0787
2,0.5012
4,0.5019
8,1.2663999999999997
16,1.4412000000000003
32,2.3331000000000004
64,3.1987
128,6.3978
256,13.7703
512,16.7129
1024,43.1065
2048,63.8546
4096,113.1781
8192,189.5976
16384,275.6028
32768,523.9002
65536,941.9143
131072,1543.2763
262144,2912.0528
524288,5279.7288
2,0.7165
4,0.2148
8,1.1381999999999999
16,3.2175000000000002
32,2.8407
64,5.8738
128,5.5383
256,12.6964
512,27.5387
1024,32.0227
2048,63.0048
4096,100.5662
8192,188.3471
16384,305.5396
32768,531.2171
65536,870.2149
131072,1632.7798
262144,2947.3843
524288,5089.103
2,0.06479999999999997
4,0.6513000000000001
8,1.5385
16,1.4840999999999998
32,3.1012
64,6.5493
128,8.891499999999999
256,15.3749
512,21.6696
1024,38.8239
2048,65.3649
4096,94.7099
8192,175.9696
16384,305.5538
32768,556.8504
65536,927.487
131072,1560.5874
262144,2786.1747
524288,5413.7171
2,0.11279999999999996
4,0.10919999999999996
8,1.1788
16,1.9825
32,1.8411000000000002
64,3.7995
128,5.947900000000001
256,12.7881
512,23.3014
1024,41.3033
2048,48.4629
4096,90.938
8192,180.3747
16384,313.9353
32768,535.2692
65536,917.6303
131072,1668.5401
262144,2982.8055
524288,5185.5188
2,0.6384000000000001
4,0.8348
8,1.2373
16,3.3002000000000002
32,2.7132
64,4.0966000000000005
128,6.7049
256,15.152899999999999
512,18.7465
1024,36.0465
2048,70.6984
4096,99.6434
8192,172.5751
16384,257.7969
32768,542.6298
65536,892.8385
131072,1665.7877
262144,2828.4071
524288,5144.1111
2,0.8611
4,0.6621999999999999
8,0.5463000000000001
16,2.2639
32,3.7455
